1:l;2:TT;3:EE;4:TE;5:BB;6:phiphi;7:TPhi;8:Ephi
1743    ;5272488252888    ;1123022746729    ;-3424276176745    ;0.000000000000e+00;0.0006365117043715;-0.000001635391816431;0.00001277146226402
1744    ;5271091634966    ;1111157987383    ;-3382856403284    ;0.000000000000e+00;0.0006349613173267;-0.000001809641318798;0.00001249579957898
1745    ;5269425573017    ;1099526521874    ;-3341057725855    ;0.000000000000e+00;0.0006334154317538;-0.000001971227586559;0.00001222014355868
1746    ;5267488159389    ;1088131235571    ;-3298899818599    ;0.000000000000e+00;0.0006318740318371;-0.000002119132567476;0.00001194446683175
1747    ;5265277480781    ;1076975024077    ;-3256402449484    ;0.000000000000e+00;0.0006303371015991;-0.000002252333697447;0.00001166874189617
1748    ;5262791618235    ;1066060793243    ;-3213585480445    ;0.000000000000e+00;0.0006288046249;-0.000002369803894129;0.0000113929411191
1749    ;5260028647128    ;1055391459183    ;-3170468867517    ;0.000000000000e+00;0.0006272765854376;-0.000002470511550547;0.00001111703673669
1750    ;5256986637168    ;1044969948282    ;-3127072660972    ;0.000000000000e+00;0.000625752966747;-0.000002553420528717;0.00001084100085386
1751    ;5253663652385    ;1034799197216    ;-3083417005455    ;0.000000000000e+00;0.0006242337521999;-0.000002617490153262;0.00001056480544415
1752    ;5250057751125    ;1024882152961    ;-3039522140119    ;0.000000000000e+00;0.0006227189250051;-0.000002661675205028;0.00001028842234949
1753    ;5246166986044    ;1015221772806    ;-2995408398762    ;0.000000000000e+00;0.0006212084682076;-0.000002684925914698;0.00001001182328005
1754    ;5241989404102    ;1005821024368    ;-2951096209962    ;0.000000000000e+00;0.0006197023646884;-0.000002686187956416;0.000009734979814
1755    ;5237523046554    ;0.9966828856044;-2906606097212    ;0.000000000000e+00;0.0006182005971644;-0.000002664402441399;0.000009457863397374
1756    ;5232765948944    ;0.9878103448253;-2861958679058    ;0.000000000000e+00;0.0006167031481882;-0.000002618505911555;0.000009180445343838
1757    ;5227716141101    ;0.9792064007084;-2817174669234    ;0.000000000000e+00;0.0006152100001473;-0.0000025474303331;0.000008902696834517
1758    ;522237164713    ;0.9708740623108;-2772274876795    ;0.000000000000e+00;0.0006137211352645;-0.000002450103090175;0.000008624588917798
1759    ;5216730485404    ;0.9628163490826;-2727280206259    ;0.000000000000e+00;0.0006122365355971;-0.000002325446978465;0.000008346092509146
1760    ;5210790668561    ;0.9550362908803;-2682211657735    ;0.000000000000e+00;0.0006107561830367;-0.000002172380198812;0.000008067178390907
1761    ;5204550203495    ;0.9475369279793;-2637090327068    ;0.000000000000e+00;0.0006092800593093;-0.000001989816350837;0.000007787817212121
1762    ;5198007091349    ;0.940321311088;-2591937405966    ;0.000000000000e+00;0.0006078081459744;-0.000001776664426552;0.00000750797948833
1763    ;519115932751    ;0.93339250136;-2546774182139    ;0.000000000000e+00;0.0006063404244253;-0.000001531828803981;0.000007227635601386
1764    ;5184004901601    ;0.9267535704082;-250162203944    ;0.000000000000e+00;0.0006048768758884;-0.000001254209240775;0.000006946755799265
1765    ;5176541797476    ;0.920407600317;-2456502457992    ;0.000000000000e+00;0.0006034174814231;-0.0000009427008678278;0.000006665310195869
1766    ;5168768943478    ;0.9143568073619;-2411435559447    ;0.000000000000e+00;0.0006019622235298;-0.000000596548947665;0.000006383286173284
