l,TT,3:EE,4:TE,
656,241,4.51,-1.66,
657,241,4.54,-1.87,
658,240,4.56,-2.08,
659,240,4.59,-2.29,
660,239,4.62,-2.5,
661,239,4.64,-2.72,
662,238,4.67,-2.93,
663,238,4.69,-3.15,
664,237,4.72,-3.37,
665,237,4.74,-3.59,
666,236,4.76,-3.82,
667,236,4.78,-4.04,
668,236,4.8,-4.27,
669,235,4.82,-4.49,
670,235,4.84,-4.72,
671,235,4.86,-4.95,
672,235,4.88,-5.18,
673,234,4.9,-5.41,
674,234,4.91,-5.64,
675,234,4.93,-5.87,
676,234,4.95,-6.11,
677,234,4.96,-6.34,
678,234,4.97,-6.57,
679,234,4.99,-6.8,
680,234,5,-7.04,
681,234,5.01,-7.27,
682,234,5.02,-7.5,
683,234,5.03,-7.74,
684,234,5.04,-7.97,
685,234,5.04,-8.2,
686,234,5.05,-8.43,
687,234,5.06,-8.66,
688,234,5.06,-8.89,
689,234,5.07,-9.12,
690,235,5.07,-9.35,
691,235,5.07,-9.58,
692,235,5.08,-9.81,
693,236,5.08,-10,
694,236,5.08,-10.3,
695,236,5.08,-10.5,
696,237,5.08,-10.7,
697,237,5.08,-10.9,
698,237,5.07,-11.1,
699,238,5.07,-11.4,
700,238,5.07,-11.6,
701,239,5.06,-11.8,
702,239,5.05,-12,
703,240,5.05,-12.2,
704,241,5.04,-12.4,
705,241,5.03,-12.6,
706,242,5.02,-12.8,
707,242,5.01,-13,
708,243,5,-13.2,
709,244,4.99,-13.4,
710,244,4.98,-13.6,
711,245,4.96,-13.8,
712,246,4.95,-14,
713,247,4.94,-14.1,
714,247,4.92,-14.3,
715,248,4.9,-14.5,
716,249,4.89,-14.7,
717,250,4.87,-14.8,
718,251,4.85,-15,
719,252,4.83,-15.2,
720,253,4.81,-15.3,
721,253,4.79,-15.5,
722,254,4.77,-15.6,
723,255,4.75,-15.8,
724,256,4.73,-15.9,
725,257,4.71,-16.1,
726,258,4.68,-16.2,
727,259,4.66,-16.3,
728,260,4.63,-16.5,
729,261,4.61,-16.6,
730,262,4.58,-16.7,
731,263,4.56,-16.8,
732,264,4.53,-16.9,
733,265,4.5,-17,
734,266,4.47,-17.1,
735,267,4.44,-17.2,
736,269,4.41,-17.3,
737,270,4.38,-17.4,
738,271,4.35,-17.5,
739,272,4.32,-17.6,
740,273,4.29,-17.7,
741,274,4.26,-17.7,
742,275,4.23,-17.8,
743,276,4.19,-17.9,
744,278,4.16,-17.9,
745,279,4.13,-18,
746,280,4.09,-18,
747,281,4.06,-18.1,
748,282,4.03,-18.1,
749,283,3.99,-18.1,
750,284,3.96,-18.2,
751,286,3.92,-18.2,
752,287,3.88,-18.2,
753,288,3.85,-18.2,
754,289,3.81,-18.2,
755,290,3.77,-18.2,
756,291,3.74,-18.2,
757,293,3.7,-18.2,
758,294,3.66,-18.2,
759,295,3.63,-18.2,
760,296,3.59,-18.2,
761,297,3.55,-18.2,
762,298,3.51,-18.1,
763,299,3.48,-18.1,
764,300,3.44,-18.1,
765,302,3.4,-18,
766,303,3.36,-18,
767,304,3.32,-17.9,
768,305,3.29,-17.8,
769,306,3.25,-17.8,
770,307,3.21,-17.7,
771,308,3.17,-17.6,
772,309,3.13,-17.6,
773,310,3.1,-17.5,
774,311,3.06,-17.4,
775,312,3.02,-17.3,
776,313,2.98,-17.2,
777,314,2.95,-17.1,
778,315,2.91,-17,
779,316,2.87,-16.9,
780,317,2.83,-16.8,
781,318,2.8,-16.6,
782,319,2.76,-16.5,
783,320,2.73,-16.4,
784,321,2.69,-16.2,
785,321,2.65,-16.1,
786,322,2.62,-16,
787,323,2.58,-15.8,
788,324,2.55,-15.7,
789,325,2.51,-15.5,
790,326,2.48,-15.4,
791,326,2.45,-15.2,
792,327,2.41,-15,
793,328,2.38,-14.9,
794,328,2.35,-14.7,
795,329,2.31,-14.5,
796,330,2.28,-14.3,
797,330,2.25,-14.2,
798,331,2.22,-14,
799,332,2.19,-13.8,
800,332,2.16,-13.6,
801,333,2.13,-13.4,
802,333,2.1,-13.2,
803,334,2.07,-13,
804,334,2.05,-12.8,
805,335,2.02,-12.6,
806,335,1.99,-12.4,
807,335,1.97,-12.1,
808,336,1.94,-11.9,
809,336,1.92,-11.7,
810,336,1.89,-11.5,
811,337,1.87,-11.2,
812,337,1.85,-11,
813,337,1.83,-10.8,
814,338,1.8,-10.6,
815,338,1.78,-10.3,
816,338,1.76,-10.1,
817,338,1.74,-9.85,
818,338,1.73,-9.61,
819,338,1.71,-9.37,
820,338,1.69,-9.12,
821,338,1.67,-8.88,
822,338,1.66,-8.63,
823,338,1.64,-8.38,
824,338,1.63,-8.13,
825,338,1.61,-7.88,
826,338,1.6,-7.63,
827,338,1.59,-7.38,
828,338,1.58,-7.12,
829,338,1.57,-6.87,
830,337,1.56,-6.61,
831,337,1.55,-6.36,
832,337,1.54,-6.1,
833,337,1.53,-5.85,
834,336,1.53,-5.59,
835,336,1.52,-5.33,
836,336,1.52,-5.08,
837,335,1.51,-4.82,
838,335,1.51,-4.56,
839,334,1.51,-4.3,
840,334,1.51,-4.05,
841,333,1.51,-3.79,
842,333,1.51,-3.54,
843,332,1.51,-3.28,
844,332,1.51,-3.03,
845,331,1.51,-2.77,
846,330,1.52,-2.52,
847,330,1.52,-2.27,
848,329,1.53,-2.01,
849,328,1.53,-1.76,
850,328,1.54,-1.51,
851,327,1.55,-1.26,
852,326,1.56,-1.02,
853,325,1.57,-0.771,
854,324,1.58,-0.526,
855,324,1.59,-0.283,
856,323,1.6,-0.042,
857,322,1.61,0.198,
858,321,1.63,0.436,
859,320,1.64,0.671,
860,319,1.65,0.905,
861,318,1.67,1.14,
862,317,1.69,1.37,
863,316,1.7,1.59,
864,315,1.72,1.82,
865,314,1.74,2.04,
866,313,1.76,2.26,
867,311,1.78,2.48,
868,310,1.8,2.69,
869,309,1.82,2.9,
870,308,1.85,3.11,
871,307,1.87,3.32,
872,305,1.89,3.52,
873,304,1.92,3.72,
874,303,1.94,3.92,
875,302,1.97,4.11,
876,300,2,4.3,
877,299,2.03,4.48,
878,298,2.05,4.67,
879,296,2.08,4.85,
880,295,2.11,5.02,
881,293,2.14,5.2,
882,292,2.17,5.36,
883,291,2.2,5.53,
884,289,2.24,5.69,
885,288,2.27,5.85,
886,286,2.3,6.01,
887,285,2.33,6.16,
888,283,2.37,6.3,
889,282,2.4,6.45,
